"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","municipality_id","stop_desc","stop_timezone","wheelchair_boarding","platform_code","vehicle_type"
"111766","Jo0049","Karhunmäki E","62.569688762545276","29.805862860329345","1","","0","","167","","","0","",""
"111768","Jo0083","Kotilahti P","62.57393506457779","29.802433094422156","1","","0","","167","","","0","",""
"111769","Jo0082","Kotilahti E","62.57403820983712","29.802369880612446","1","","0","","167","","","0","",""
"112186","Jo0148","Nepenmäki E","62.588525","29.783554","1","","0","","167","","","0","",""
"113807","Jo0012","Erkinpellontie I","62.62728019656058","29.68930301557659","1","","0","","167","","","0","",""
"113808","Jo0156","Ojalankaarto I","62.63311214102968","29.691727040852726","1","","0","","167","","","0","",""
"114085","Jo0275","Yliopisto P","62.60433657987242","29.747651599234217","1","","0","","167","","","0","",""
"114086","Jo0276","Yliopisto E","62.605139041742355","29.746068167138294","1","","0","","167","","","0","",""
"114090","Jo0042","Kanervala E","62.614298","29.768644","1","","0","","167","","","0","","3"
"114448","Jo0246","Tuohitie L","62.58098821","29.79519481","1","","0","","167","","","0","",""
"114449","Jo0177","Petäikkölänkatu P","62.57939994","29.78996726","1","","0","","167","","","0","",""
"114456","Jo0099","Laiduntie P","62.57684769944774","29.810208811971577","1","","0","","167","","","0","",""
"114457","Jo0161","Paimenpojantie P","62.57980052","29.80683461","1","","0","","167","","","0","",""
"114459","Jo0114","Lonikintie L","62.579209461323224","29.8014260350107","1","","0","","167","","","0","","3"
"114460","Jo0281","Yrittäjäntie E","62.58160688","29.80476071","1","","0","","167","","","0","",""
"114462","Jo0228","Sompatie E","62.58412627","29.80382226","1","","0","","167","","","0","",""
"114465","Jo0179","Pielisensuu P","62.593572416315006","29.784260961071656","1","","0","","167","","","0","",""
"114466","Jo0178","Pielisensuu E","62.59350626857111","29.784357593504062","1","","0","","167","","","0","",""
"114468","Jo0090","Kuntohovi E","62.590317","29.782147","1","","0","","167","","","0","",""
"114472","Jo0044","Kannelpuisto L","62.60058853","29.82642157","1","","0","","167","","","0","",""
"114473","Jo0045","Kannelpuisto I","62.60004901","29.82791147","1","","0","","167","","","0","",""
"114474","Jo0229","Suvikuja L","62.58953047525662","29.78737120055027","1","","0","","167","","","0","",""
"114477","Jo0079","Konepaja E","62.58708966","29.77141895","1","","0","","167","","","0","",""
"114478","Jo0183","Pyhäselänkatu L","62.58555583","29.76762032","1","","0","","167","","","0","",""
"114479","Jo0087","Kuhasalontie E","62.58456563","29.76232746","1","","0","","167","","","0","",""
"114482","Jo0135","Meijeri L","62.60176423842344","29.78242714841031","1","","0","","167","","","0","",""
"114483","Jo0136","Meijeri I","62.60159426572602","29.785447708336076","1","","0","","167","","","0","",""
"114484","Jo0030","Kimmel E","62.600707192271216","29.77479764481484","1","","0","","167","","","0","",""
"114485","Jo0031","Kimmel P","62.60053356795416","29.774796518959135","1","","0","","167","","","0","",""
"114486","Jo0005","Itäranta E","62.59946402423748","29.77470206083174","1","","0","","167","","","0","",""
"114487","Jo0167","Pappilantie L","62.60279937","29.79607958","1","","0","","167","","","0","",""
